subset,features,classifier,cv_mean,cv_std,train_prauc,test_prauc,n_train,pos_rate
gemini_only,sc+pca32+16,LGBM_medium,0.3564128355084286,0.05326989211951613,0.9584762435828265,0.7108578262485896,1753,0.11123787792355962
qwen_only,sc+pca16+8+contr,LGBM_conservative,0.5718797168357038,0.029234200324258296,0.679656643542233,0.7104892612026474,1565,0.26070287539936104
qwen_only,sc_only,LR_C0.05,0.5456239609438965,0.06546897062584281,0.5777234682374688,0.7104531278112224,1565,0.26070287539936104
qwen_only,sc+pca16+8,LGBM_conservative,0.5437663533063808,0.045116077470549985,0.6730345257652544,0.7085711420407353,1565,0.26070287539936104
gemini_only,sc_only,LGBM_conservative,0.3065725788546904,0.028807940876382436,0.4569515099312508,0.7082513599333173,1753,0.11123787792355962
qwen_only,sc+contrast,LGBM_medium,0.5866284386872043,0.03294396835890558,0.8227379689120922,0.7068638353007715,1565,0.26070287539936104
qwen_only,sc_only,LR_C0.1,0.5458252667324599,0.06476339396905156,0.5817660986561028,0.7065448767210672,1565,0.26070287539936104
qwen_only,sc+contrast,LR_C0.1,0.6067512668292648,0.05276839726941847,0.6323257640189577,0.70549662095774,1565,0.26070287539936104
qwen_only,sc+pca32+16+contr,LGBM_conservative,0.5722235125044387,0.03909252756193295,0.6895556343567583,0.7040534913052799,1565,0.26070287539936104
gemini_only,sc+contrast,LGBM_medium,0.440391923456274,0.0867203222958927,0.8258080983125737,0.7030759265917048,1753,0.11123787792355962
gemini_only,sc+pca32+16,LGBM_conservative,0.34134939764818195,0.04854668572388154,0.5504211432376641,0.7027234010066039,1753,0.11123787792355962
qwen_only,sc+contrast,LGBM_conservative,0.5710247545391064,0.032085100084927654,0.6740822666030621,0.7025546207091637,1565,0.26070287539936104
gemini_only,sc+pca16+8,LGBM_conservative,0.336938960043741,0.03051464409727794,0.528502467236976,0.702550961946621,1753,0.11123787792355962
gemini_only,sc+pca32+16+contr,LGBM_medium,0.3980863711884273,0.0870915893575691,0.9404138106914797,0.7021976855119301,1753,0.11123787792355962
gemini_only,sc+pca16+8,LGBM_medium,0.3513850395563026,0.04723376816535401,0.9145065244519668,0.6977024038788737,1753,0.11123787792355962
qwen_only,sc_only,LGBM_medium,0.5350109678685,0.04222861392765846,0.8197141153438766,0.6961839146456361,1565,0.26070287539936104
gemini_only,sc+pca16+8+contr,LGBM_medium,0.41790552187738933,0.07698792053634125,0.9133060614965133,0.6940542094630667,1753,0.11123787792355962
gemini_only,sc+pca16+8+contr,LGBM_conservative,0.40684637040210125,0.06445639780735905,0.5639588624577606,0.6900205247576778,1753,0.11123787792355962
gemini_only,sc+pca32+16+contr,LGBM_conservative,0.3927500570374144,0.07252900633676791,0.5657798774479098,0.6823304520602463,1753,0.11123787792355962
qwen_only,sc_only,LGBM_conservative,0.501808629217823,0.047632860215303545,0.6254861170319511,0.6817768922290199,1565,0.26070287539936104
gemini_only,sc+contrast,LGBM_conservative,0.4222827109897801,0.09765267308972098,0.5443467623125315,0.676924285332281,1753,0.11123787792355962
